bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022020301588,-,-,-,-,-,-,-,-,-,-
R2022020301590,-,-,-,-,-,-,-,-,-,-
R2022020301601,-,-,-,-,-,-,-,-,-,-
R2022020301602,-,-,-,-,-,-,-,-,-,-
R2022020301604,-,-,-,-,-,-,-,-,-,-
R2022020301606,-,-,-,-,-,-,-,-,-,-
R2022020301607,-,-,-,-,-,-,-,-,-,-
R2022020301608,-,-,-,-,-,-,-,-,-,-
R2022021001621,-,-,-,-,-,-,-,-,-,-
R2022021101667,-,-,-,-,-,-,-,-,-,-
R2022021101668,-,-,-,-,-,-,-,-,-,-
R2022021601681,-,-,-,-,-,-,-,-,-,-
R2022021601682,-,-,-,-,-,-,-,-,-,-
R2022022401703,-,000~150,-,-,-,-,-,-,-,-
R2022022501741,-,-,-,-,-,-,-,-,-,-
R2022030301761,-,-,-,-,-,-,-,-,1,1
R2022030301762,-,-,-,-,-,-,-,-,-,-
R2022030301781,-,-,-,-,-,-,-,-,-,-
R2022030401782,-,-,-,-,-,-,-,-,-,-
R2022030401783,-,-,-,-,-,-,-,-,-,-
R2022030401784,-,-,-,-,-,-,-,-,-,-
R2022030401785,-,-,-,-,-,-,-,-,-,-
R2022030401786,-,-,-,-,-,-,-,-,-,-
R2022030401801,-,-,-,-,-,-,-,-,-,-
R2022030401802,-,-,-,-,-,-,-,-,-,-
R2022030401803,-,-,-,4,-,-,-,-,-,-
R2022030401804,-,-,-,-,-,-,-,-,-,-
R2022030401805,-,-,-,-,-,-,-,-,-,-
R2022030401807,-,-,-,-,-,-,-,-,-,-
R2022030401808,-,-,-,-,-,-,-,-,-,-
R2022030401809,-,-,-,-,-,-,-,-,-,-
R2022030701821,-,-,-,-,-,-,-,-,-,-
R2022030701824,8,-,-,-,-,-,-,-,-,-
R2022030801862,-,-,-,-,-,-,-,-,-,-
R2022030801881,-,-,-,-,-,-,-,-,-,-
R2022030801883,-,-,-,-,-,-,-,-,-,-
R2022031000044,-,-,-,-,-,-,-,-,-,-
R2022031000045,-,-,-,-,-,-,-,-,-,-
R2022031001906,-,-,-,-,-,-,-,-,-,-
R2022031001907,-,-,-,-,-,-,-,-,-,-
R2022031001908,-,-,-,-,-,-,-,-,-,-
R2022031001909,-,000~060,-,-,-,-,-,-,-,-
R2022031001910,-,-,-,-,-,-,-,-,-,-
R2022031001911,-,-,-,-,-,-,-,-,-,-
R2022031001921,-,000~060,1,-,1,-,-,-,-,-
R2022031001933,-,-,-,4,-,-,-,-,-,-
R2022031001934,-,-,-,-,-,-,-,-,-,-
R2022031001935,-,-,-,-,-,-,-,-,-,-
R2022031001936,-,-,-,-,-,-,-,-,-,-
R2022031100001,-,-,-,-,-,-,-,-,-,-
R2022031100002,-,000~120,-,-,-,-,-,-,-,-
R2022031100003,-,-,-,-,-,-,-,-,-,-
R2022031100004,-,-,-,-,-,-,-,-,-,-
R2022031100005,-,-,-,-,-,-,-,-,-,-
R2022031100006,-,-,1,-,-,-,-,-,-,-
R2022031100007,-,-,-,-,-,-,-,-,-,-
R2022031100008,-,-,-,-,-,-,-,-,-,-
R2022031100009,-,-,-,-,-,-,-,-,-,-
R2022031100010,-,-,-,-,-,-,-,-,-,-
R2022031100011,-,-,-,-,-,-,-,-,-,-
R2022031100012,-,-,-,-,-,-,-,-,-,-
R2022031100013,-,-,-,-,-,-,-,-,-,-
R2022031100014,-,-,-,-,-,-,-,-,-,-
R2022031100015,-,-,-,-,-,-,-,-,-,-
R2022031100016,-,-,-,-,-,-,-,-,-,-
