bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022031900063,-,-,-,-,-,-,-,-,-,-
R2022031900064,-,-,-,-,-,-,-,-,-,-
R2022031900065,-,-,-,-,-,-,-,-,-,-
R2022031900066,-,-,-,-,-,-,-,-,-,-
R2022031900067,-,-,-,-,-,-,-,-,-,-
R2022031900068,-,-,-,-,-,-,-,-,-,-
R2022031900069,-,-,-,-,-,-,-,-,-,-
R2022031900070,-,-,-,-,-,-,1,-,-,-
R2022031900071,-,-,-,-,-,-,-,-,-,-
R2022031900072,-,-,-,-,-,-,-,-,-,-
R2022031900073,-,-,-,2,-,-,-,-,-,-
R2022031900074,-,-,-,-,-,-,-,-,-,-
R2022031900075,-,-,-,-,-,-,-,-,-,-
R2022031900076,-,-,-,-,-,-,-,-,-,-
R2022031900077,-,-,-,-,-,-,-,-,-,-
R2022031900078,-,-,-,-,-,-,-,-,-,-
R2022031900079,-,-,-,-,-,-,-,-,-,-
R2022031900080,-,-,-,-,-,-,-,-,-,-
R2022031900081,-,-,-,-,-,-,-,-,-,-
R2022031900082,-,-,-,-,-,-,-,-,-,-
R2022031900083,-,-,-,-,-,-,-,-,-,-
R2022031900084,-,-,-,-,-,-,-,-,-,-
R2022031900086,-,-,-,-,-,-,-,-,-,-
R2022031900088,-,-,-,-,-,-,-,-,-,-
R2022031900089,-,-,-,-,-,-,-,-,-,-
R2022031900090,-,-,-,-,-,-,-,-,-,-
R2022031900091,-,-,-,-,-,-,-,-,-,-
R2022031900092,-,-,-,-,-,-,-,-,-,-
R2022031900093,-,-,-,-,-,-,-,-,-,-
R2022031900094,-,-,-,-,-,-,-,-,-,-
R2022031900095,-,-,-,-,-,-,-,-,-,-
R2022031900096,-,-,-,-,-,-,-,-,-,-
R2022031900097,-,-,-,-,-,-,-,-,-,-
R2022031900098,-,-,-,-,-,-,-,-,-,-
R2022031900099,-,-,-,-,-,-,-,-,-,-
R2022031900100,-,-,-,-,-,-,-,-,-,-
R2022031900101,-,-,-,-,-,-,-,-,-,-
R2022031900102,-,-,-,-,-,-,-,-,-,-
R2022031900103,-,-,-,-,-,-,-,-,-,-
R2022031900104,-,-,-,-,-,-,-,-,-,-
R2022031900105,-,-,-,-,-,-,-,-,-,-
R2022031900106,-,-,-,-,-,-,-,-,-,-
R2022031900107,-,-,-,-,-,-,-,-,-,-
R2022031900108,-,-,-,-,-,-,-,-,-,-
R2022031900109,-,-,-,-,-,-,-,-,-,-
R2022031900111,-,-,-,-,-,-,-,-,-,-
R2022031900112,-,-,-,-,-,-,-,-,-,-
R2022031900113,-,-,-,-,-,-,1,-,-,-
R2022031900114,-,-,-,-,-,-,-,-,-,-
R2022031900116,-,-,-,-,-,-,1,-,-,-
R2022031900117,-,-,-,-,-,-,1,-,-,-
R2022031900120,-,-,-,-,-,-,-,-,-,-
R2022031900121,-,-,-,-,-,-,-,-,-,-
R2022031900122,-,-,-,-,-,-,-,-,-,-
R2022031900123,-,-,-,-,-,-,-,-,-,-
R2022031900124,-,-,-,-,-,-,-,-,-,-
R2022031900125,-,-,-,-,-,-,-,-,-,-
R2022031900126,-,-,-,-,-,-,-,-,-,-
R2022031900128,-,-,-,-,-,-,-,-,-,-
R2022031900129,-,-,-,-,-,-,-,-,-,-
R2022031900130,-,-,-,-,-,-,-,-,-,-
R2022031900131,-,-,-,-,-,-,-,-,-,-
R2022031900132,-,-,-,-,-,-,-,-,-,-
R2022031900133,-,-,-,-,-,-,-,-,-,-
R2022031900134,-,-,-,-,-,-,1,-,-,-
R2022031900135,-,-,-,-,-,-,-,-,-,-
R2022031900136,-,-,-,-,-,-,-,-,-,-
R2022031900137,-,-,-,-,-,-,-,-,-,-
R2022031900138,-,-,-,-,-,-,-,-,-,-
R2022031900139,-,-,-,-,-,-,-,-,-,-
R2022031900140,-,-,-,-,-,-,-,-,-,-
R2022031900141,-,-,-,-,-,-,-,-,-,-
R2022031900142,-,-,-,-,-,-,-,-,-,-
R2022031900143,-,-,-,-,-,-,-,-,-,-
R2022031900144,-,-,-,-,-,-,-,-,-,-
R2022031900145,-,-,-,-,-,-,-,-,-,-
R2022031900146,-,-,-,-,-,-,-,-,-,-
R2022031900147,-,-,-,-,-,-,-,-,-,-
R2022031900148,-,-,-,4,-,-,-,-,-,-
R2022031900149,-,-,-,-,-,-,-,-,-,-
R2022031900150,-,-,-,-,-,-,-,-,-,-
R2022031900151,-,-,-,-,-,-,-,-,-,-
R2022031900152,-,-,-,-,-,-,-,-,-,-
R2022031900153,-,-,-,-,-,-,-,-,-,-
R2022031900154,-,-,-,-,-,-,-,-,-,-
R2022031900155,-,-,-,-,-,-,-,-,-,-
R2022031900156,-,-,-,-,-,-,-,-,-,-
R2022031900157,-,-,-,-,-,-,-,-,-,-
R2022031900158,-,-,-,-,-,-,-,-,-,-
R2022031900159,-,-,-,-,-,-,-,-,-,-
R2022031900160,-,-,-,-,-,-,1,-,-,-
R2022031900161,-,-,-,-,-,-,-,-,-,-
R2022031900162,-,-,-,-,-,-,1,-,-,-
R2022031900163,-,-,-,-,-,-,-,-,-,-
R2022031900164,-,-,-,-,-,-,-,-,-,-
R2022031900165,-,-,-,-,-,-,-,-,-,-
R2022031900166,-,-,-,-,-,-,-,-,-,-
R2022031900167,-,-,-,-,-,-,-,-,-,-
R2022031900168,-,-,-,-,-,-,-,-,-,-
R2022031900169,-,-,-,-,-,-,-,-,-,-
R2022031900170,-,-,-,-,-,-,-,-,-,-
R2022031900171,-,-,-,-,-,-,-,-,-,-
R2022031900172,-,-,-,-,-,-,-,-,-,-
R2022031900173,-,-,-,-,-,-,-,-,-,-
R2022031900174,-,-,-,-,-,-,-,-,-,-
R2022031900175,-,-,-,-,-,-,-,-,-,-
R2022031900176,-,-,-,-,-,-,-,-,-,-
R2022031900177,-,-,-,-,-,-,-,-,-,-
R2022031900178,-,-,-,-,-,-,-,-,-,-
R2022031900179,-,-,-,-,-,-,-,-,-,-
R2022031900180,-,-,-,-,-,-,-,-,-,-
R2022031900181,-,-,-,-,-,-,-,-,-,-
R2022031900182,-,-,-,-,-,-,-,-,-,-
R2022031900183,-,-,-,-,-,-,-,-,-,-
R2022031900184,-,-,-,-,-,-,-,-,-,-
R2022031900185,-,-,-,-,-,-,-,-,-,-
R2022031900186,-,-,-,-,-,-,-,-,-,-
R2022031900187,-,-,-,-,-,-,-,-,-,-
R2022031900188,-,-,-,-,-,-,-,-,-,-
R2022031900189,-,-,-,-,-,-,-,1,-,-
R2022031900190,-,-,-,-,-,-,-,-,-,-
R2022031900191,-,000~120,-,-,-,-,-,-,-,-
R2022031900192,-,-,-,-,-,-,-,-,-,-
R2022031900193,-,-,-,-,-,-,-,-,-,-
R2022031900194,-,-,-,-,-,-,-,-,-,-
R2022031900195,-,-,-,-,-,-,-,-,-,-
R2022031900196,-,-,-,-,-,-,-,-,-,-
R2022031900197,-,-,-,-,-,-,-,-,-,-
R2022031900198,-,-,-,-,-,-,-,-,-,-
R2022031900200,-,-,-,-,-,-,-,-,-,-
R2022031900201,-,-,-,-,-,-,-,-,-,-
R2022031900202,-,-,-,-,-,-,-,-,-,-
R2022031900203,-,-,-,-,-,-,-,-,-,-
R2022031900204,-,-,-,-,-,-,-,-,-,-
R2022031900205,-,-,-,-,-,-,-,-,-,-
R2022031900206,-,-,-,-,-,-,-,-,-,-
R2022031900207,-,-,-,-,-,-,-,-,-,-
R2022031900208,-,-,-,-,-,-,-,-,-,-
R2022031900209,-,-,-,-,-,-,-,-,-,-
R2022031900210,-,-,-,-,-,-,-,-,-,-
R2022031900211,-,-,-,-,-,-,-,-,-,-
R2022031900212,-,-,-,-,-,-,-,1,-,-
R2022031900213,-,-,-,-,-,-,-,-,-,-
R2022031900214,-,-,-,-,-,-,-,-,-,-
R2022031900215,-,-,-,-,-,-,-,-,-,-
R2022031900216,-,-,-,-,-,-,-,-,-,-
R2022031900217,-,-,-,-,-,-,-,-,-,-
R2022031900218,-,-,-,-,-,-,-,-,-,-
R2022031900219,-,-,-,-,-,-,-,-,-,-
R2022031900220,-,-,-,-,-,-,-,-,-,-
R2022031900221,-,-,-,-,-,-,-,-,-,-
R2022031900222,-,-,-,-,-,-,-,-,-,-
R2022031900223,-,-,-,-,-,-,-,-,-,-
R2022031900224,-,-,-,-,-,-,-,-,-,-
R2022031900226,-,-,-,-,-,-,-,-,-,-
R2022031900227,-,-,1,-,-,-,-,-,-,-
R2022031900228,-,-,-,-,-,-,-,-,-,-
R2022031900229,-,-,-,-,-,-,-,-,-,-
R2022031900230,-,-,-,-,-,-,-,-,-,-
R2022031900231,-,-,-,-,-,-,-,-,-,-
R2022031900232,-,-,-,-,-,-,-,-,-,-
R2022031900233,-,-,-,-,-,-,-,-,-,-
R2022031900234,-,-,-,-,-,-,-,-,-,-
R2022031900235,-,-,-,-,-,-,-,-,-,-
R2022031900236,-,-,-,-,-,-,-,-,-,-
R2022031900237,-,-,-,-,-,-,-,-,-,-
R2022031900238,-,-,-,-,-,-,-,-,-,-
R2022031900239,-,-,-,-,-,-,-,-,-,-
R2022031900240,-,-,-,-,-,-,-,-,-,-
R2022031900241,-,-,-,-,-,-,-,-,-,-
R2022031900242,-,-,-,-,-,-,-,-,-,-
R2022031900243,-,-,-,-,-,-,-,-,-,-
R2022031900244,-,-,1,-,-,1,-,-,-,-
R2022031900245,-,-,1,-,-,-,-,-,-,-
R2022031900246,-,-,-,-,-,-,-,-,-,-
R2022031900247,-,-,-,-,-,-,-,-,-,-
R2022031900248,-,-,-,-,-,-,-,-,-,-
R2022031900249,-,-,-,-,-,-,-,-,-,-
R2022031900250,-,-,-,-,-,-,-,-,-,-
R2022031900251,-,-,-,-,-,-,-,-,-,-
R2022031900252,-,-,-,-,-,-,-,-,-,-
R2022031900253,-,-,-,-,-,-,-,-,-,-
R2022031900254,-,-,-,-,-,-,-,-,-,-
R2022031900255,-,-,-,-,-,-,-,-,-,-
R2022031900256,-,-,-,-,-,-,-,-,-,-
R2022031900257,-,-,-,-,-,-,-,-,-,-
R2022031900258,-,-,-,-,-,-,-,-,-,-
R2022031900259,-,-,-,-,-,-,-,-,-,-
R2022031900260,-,-,-,-,-,-,-,-,-,-
R2022031900261,-,-,-,-,-,-,-,-,-,-
R2022031900262,-,-,-,-,-,-,-,-,-,-
R2022031900263,-,-,-,-,-,-,-,-,-,-
R2022031900264,-,-,-,-,-,-,-,-,-,-
R2022031900265,-,-,-,-,-,-,-,-,-,-
R2022031900266,-,-,-,-,-,-,-,-,-,-
R2022031900267,-,-,-,-,-,-,-,-,-,-
R2022031900268,-,-,-,-,-,-,-,-,-,-
R2022031900269,-,-,-,-,-,-,-,-,-,-
R2022031900270,-,-,-,-,-,-,-,-,-,-
R2022031900271,-,-,-,-,-,-,-,-,-,-
R2022031900272,-,-,-,-,-,-,-,-,-,-
R2022031900273,-,-,-,-,-,-,-,-,-,-
R2022031900274,-,-,-,-,-,-,-,-,-,-
R2022031900275,-,-,-,-,-,-,-,-,-,-
R2022031900276,-,-,-,-,-,-,-,-,-,-
R2022031900277,-,-,-,-,-,-,-,-,-,-
R2022031900278,-,-,-,-,-,-,-,-,-,-
R2022031900279,-,-,-,-,-,-,-,-,-,-
R2022031900280,-,-,-,-,-,-,-,-,-,-
R2022031900281,-,-,-,-,-,-,-,-,-,-
R2022031900282,-,-,-,-,-,-,-,-,-,-
R2022031900283,-,-,1,-,-,1,-,-,-,-
R2022031900284,-,-,-,-,-,-,-,-,-,-
R2022031900285,-,-,1,-,-,-,-,-,-,-
R2022031900286,-,-,1,-,-,-,-,-,-,-
R2022031900287,-,-,-,-,-,-,-,-,-,-
R2022031900288,-,-,-,-,-,-,-,-,-,-
R2022031900289,-,-,-,-,-,-,-,-,-,-
R2022031900290,-,-,-,-,-,-,-,-,-,-
R2022031900291,-,-,-,-,-,-,-,-,-,-
R2022031900292,-,-,-,-,-,-,-,-,-,-
R2022031900293,-,-,-,-,-,-,-,-,-,-
R2022031900294,-,-,-,-,-,-,-,-,-,-
R2022031900295,-,-,-,-,-,-,-,-,-,-
R2022031900296,-,-,-,-,-,-,-,-,-,-
R2022031900297,-,-,-,-,-,-,-,-,-,-
R2022031900298,-,-,-,-,-,-,-,-,-,-
R2022031900299,-,-,-,-,-,-,-,-,-,-
R2022031900300,-,-,-,-,-,-,-,-,-,-
R2022031900301,-,-,-,-,-,-,-,-,-,-
R2022031900302,-,-,-,-,-,1,-,-,-,-
R2022031900303,-,-,-,-,-,-,-,-,-,-
R2022031900304,-,-,-,-,-,-,-,-,-,-
R2022031900305,-,-,-,-,-,-,-,-,-,-
R2022031900306,-,-,-,-,-,-,-,-,-,-
R2022031900307,-,-,-,-,-,-,-,-,-,-
R2022031900308,-,-,-,-,-,-,-,-,-,-
R2022031900309,-,-,-,-,-,-,-,-,-,-
R2022031900310,-,-,-,-,-,-,-,-,-,-
R2022031900311,-,-,-,-,-,-,-,-,-,-
R2022031900312,-,-,-,-,-,-,-,-,-,-
R2022031900313,-,-,-,-,-,-,-,-,-,-
R2022031900314,-,-,-,-,-,-,-,-,-,-
R2022031900315,-,-,-,-,-,-,-,-,-,-
R2022031900316,-,-,-,-,-,-,-,-,-,-
R2022031900317,-,-,-,-,-,-,-,-,-,-
R2022031900318,-,-,-,-,-,-,-,-,-,-
R2022031900319,-,-,-,-,-,-,-,-,-,-
R2022031900320,-,-,-,-,-,-,-,-,-,-
R2022031900321,-,-,-,-,-,-,-,-,-,-
R2022031900322,-,-,-,-,-,-,-,-,-,-
R2022031900323,-,-,-,-,-,-,-,-,-,-
R2022031900324,-,-,-,-,-,-,-,-,-,-
R2022031900325,-,-,-,-,-,-,-,-,-,-
R2022031900326,-,-,-,-,-,-,-,-,-,-
R2022031900327,-,-,-,-,-,-,-,-,-,-
R2022031900328,-,-,-,-,-,-,-,-,-,-
R2022031900329,-,-,-,-,-,-,-,-,-,-
R2022031900330,-,-,-,-,-,-,-,-,-,-
R2022031900331,-,-,-,-,-,-,-,-,-,-
R2022031900332,-,-,-,-,-,-,-,-,-,-
R2022031900333,-,-,-,-,-,-,-,-,-,-
R2022031900334,-,-,-,-,-,-,-,-,-,-
R2022031900335,-,-,1,-,-,1,-,-,-,-
R2022031900336,-,-,-,-,-,-,-,-,1,1
R2022031900337,-,-,-,-,-,-,-,-,-,-
R2022031900338,-,-,-,-,-,-,-,-,-,-
R2022031900339,-,-,-,-,-,-,-,-,-,-
R2022031900340,-,-,-,-,-,-,-,-,-,-
R2022031900341,-,-,-,-,-,-,-,-,-,-
R2022031900342,-,-,-,-,-,-,1,-,-,-
R2022031900343,-,-,1,-,-,1,-,-,-,-
R2022031900344,-,-,-,-,-,-,-,-,-,-
R2022031900345,-,-,-,-,-,-,-,-,-,-
R2022031900346,-,-,-,-,-,-,-,-,-,-
R2022031900347,-,-,-,-,-,-,-,-,-,-
R2022031900348,-,-,-,-,-,-,-,-,-,-
R2022031900349,-,-,-,-,-,-,-,-,-,-
R2022031900350,-,-,-,-,-,-,-,-,-,-
R2022031900351,-,-,-,-,-,-,-,-,-,-
R2022031900352,-,-,-,-,-,-,-,-,-,-
R2022031900353,-,-,-,-,-,-,-,-,-,-
R2022031900354,-,-,-,-,-,-,-,-,-,-
R2022031900355,-,-,-,-,-,-,-,-,-,-
R2022031900356,-,-,-,-,-,-,-,-,-,-
R2022031900357,-,-,-,-,-,-,-,-,-,-
R2022031900358,-,-,-,-,-,-,-,-,-,-
R2022031900359,-,-,-,-,-,-,-,-,-,-
R2022031900360,-,-,-,-,-,-,-,-,-,-
R2022031900361,-,-,-,-,-,-,-,-,-,-
R2022031900362,-,-,-,-,-,-,-,-,-,-
R2022031900363,-,-,-,-,-,-,-,-,-,-
R2022031900364,-,-,-,-,-,-,-,1,-,-
R2022031900365,-,-,-,-,-,-,-,-,-,-
R2022031900366,-,-,-,-,-,-,1,-,-,-
R2022031900367,-,-,-,-,-,-,-,-,-,-
R2022031900368,-,-,-,-,-,-,-,-,-,-
R2022031900369,-,-,-,-,-,-,-,1,-,-
R2022031900370,-,-,-,-,-,-,-,-,-,-
R2022031900371,-,-,-,-,-,-,-,-,-,-
R2022031900372,-,-,-,-,-,-,-,-,-,-
R2022031900373,-,-,-,-,-,-,-,-,-,-
R2022031900374,-,-,-,-,-,-,-,-,-,-
R2022031900375,-,-,-,-,-,-,-,-,-,-
R2022031900376,-,-,-,-,-,-,-,-,-,-
R2022031900378,-,-,-,-,-,-,-,-,-,-
R2022031900379,-,-,-,-,-,-,-,-,-,-
R2022031900380,-,-,1,-,-,1,-,-,-,-
R2022031900381,-,-,-,-,-,-,-,-,-,-
R2022031900382,-,-,-,-,-,-,-,-,-,-
R2022031900383,-,-,-,-,-,-,-,-,-,-
R2022031900384,-,-,-,-,-,-,-,-,-,-
R2022031900385,-,-,-,-,-,-,-,-,-,-
R2022031900386,-,-,-,-,-,-,-,-,-,-
R2022031900387,-,-,-,-,-,-,-,-,-,-
R2022031900388,-,-,-,-,-,-,-,-,-,-
R2022031900389,-,-,-,-,-,-,-,-,-,-
R2022031900390,-,-,-,-,-,-,-,-,-,-
R2022031900391,-,-,-,-,-,-,-,-,-,-
R2022031900392,-,-,-,-,-,-,-,-,-,-
R2022031900393,-,-,-,-,-,-,-,-,-,-
R2022031900394,-,-,-,-,-,-,-,-,-,-
R2022031900395,-,-,-,-,-,-,-,-,-,-
R2022031900396,-,-,-,-,-,-,-,-,-,-
R2022031900397,-,-,-,-,-,-,-,-,-,-
R2022031900398,-,-,-,-,-,-,-,-,-,-
R2022031900399,-,-,-,-,-,-,-,-,-,-
R2022031900400,-,-,-,-,-,-,-,-,-,-
R2022031900401,-,-,-,4,-,-,-,-,-,-
R2022031900402,-,-,-,-,-,-,-,-,-,-
R2022031900403,-,-,-,-,-,-,-,-,-,-
R2022031900404,-,-,-,-,-,-,-,-,-,-
R2022031900405,-,-,-,-,-,-,-,-,-,-
R2022031900406,-,-,-,-,-,-,-,-,-,-
R2022031900407,-,-,-,-,-,-,-,-,-,-
R2022031900409,-,-,-,-,-,-,-,-,-,-
R2022031900410,-,-,-,-,-,-,-,-,-,-
R2022031900411,-,-,-,-,-,-,-,-,-,-
R2022031900412,-,-,-,-,-,-,1,-,-,-
R2022031900413,-,-,-,-,-,-,-,-,-,-
R2022031900414,-,-,-,-,-,-,-,-,-,-
R2022031900415,-,-,-,-,-,-,-,-,-,-
R2022031900416,-,-,-,-,-,-,-,-,-,-
R2022031900417,-,-,-,-,-,-,-,-,-,-
R2022031900418,-,-,-,-,-,1,-,-,-,-
R2022031900419,-,-,-,-,-,-,-,-,-,-
R2022031900420,-,-,-,-,-,-,-,-,-,-
R2022031900421,-,-,-,-,-,-,-,-,-,-
R2022031900422,-,-,-,-,-,-,-,-,-,-
R2022031900424,-,-,-,-,-,-,-,-,-,-
R2022031900425,-,-,-,-,-,-,-,-,-,-
R2022031900426,-,-,-,-,-,-,-,-,-,-
R2022031900427,-,-,-,-,-,-,-,-,-,-
R2022031900428,-,-,1,-,-,-,-,-,-,-
R2022031900429,-,-,-,-,-,-,-,-,-,-
R2022031900430,-,-,-,-,-,-,-,-,-,-
R2022031900431,-,-,-,-,-,-,-,-,-,-
R2022031900432,-,-,-,-,-,-,-,-,-,-
R2022031900433,-,-,-,-,-,-,-,-,-,1
R2022031900434,-,-,-,-,-,-,-,-,-,-
R2022031900435,-,-,-,-,-,-,-,-,-,-
R2022031900436,-,-,-,-,-,-,-,-,-,-
R2022031900437,-,-,-,-,-,-,-,-,-,-
R2022031900438,-,-,-,-,-,-,-,-,-,-
R2022031900439,-,-,-,-,-,-,-,-,-,-
R2022031900440,-,-,-,-,-,-,-,-,-,-
R2022031900441,-,-,-,-,-,-,-,-,-,-
R2022031900442,-,-,-,-,-,-,-,-,-,-
R2022031900443,-,-,-,-,-,-,-,-,-,-
R2022031900444,-,-,-,-,-,-,-,-,-,-
R2022031900445,-,-,-,-,-,-,-,-,-,-
R2022031900446,-,-,-,-,-,-,-,-,-,-
R2022031900447,-,-,-,-,-,-,-,-,-,-
R2022031900448,-,-,-,-,-,-,-,-,-,-
R2022031900449,-,-,-,-,-,-,-,-,-,-
R2022031900450,-,-,-,-,-,-,-,-,-,-
R2022031900451,-,-,-,-,-,-,-,-,-,-
R2022031900452,-,-,-,-,-,-,-,-,-,-
R2022031900453,-,-,-,-,-,-,-,-,-,-
R2022031900454,-,-,-,-,-,-,-,-,-,-
R2022031900455,-,-,-,-,-,-,-,-,-,-
R2022031900456,-,-,-,-,-,-,-,-,-,-
R2022031900457,-,-,1,-,-,1,-,-,-,-
R2022031900458,-,-,-,-,-,-,-,-,-,-
R2022031900459,-,-,-,-,-,-,1,-,-,-
R2022031900460,-,-,-,-,-,-,-,-,-,-
R2022031900461,-,-,-,-,-,-,-,-,-,-
R2022031900462,-,-,-,-,-,-,-,-,-,-
R2022031900463,-,-,-,-,-,-,-,-,-,-
R2022031900464,-,-,-,-,-,-,-,-,-,-
R2022031900465,-,-,-,-,-,-,1,-,-,-
R2022031900466,-,-,-,-,-,-,-,-,-,-
R2022031900467,-,-,-,-,-,-,-,-,-,-
R2022031900468,-,-,-,-,-,-,1,-,-,-
R2022031900469,-,-,-,-,-,-,-,-,-,-
R2022031900470,-,-,-,-,-,-,-,-,-,-
R2022031900471,-,-,-,-,-,-,-,-,-,-
R2022031900472,-,-,-,-,-,-,-,-,-,-
R2022031900473,-,-,-,-,-,-,-,-,-,-
R2022031900474,-,-,-,-,-,-,-,-,-,-
R2022031900475,-,-,-,-,-,-,-,-,-,-
R2022031900476,-,-,-,-,-,-,-,-,-,-
R2022031900477,-,-,-,-,-,-,-,-,-,-
R2022031900478,-,-,-,-,-,-,-,-,-,-
R2022031900479,-,-,-,-,-,-,-,-,-,-
R2022031900480,-,-,-,-,-,-,-,-,-,-
R2022031900481,-,-,-,-,-,-,-,-,-,-
R2022031900482,-,-,-,-,-,-,-,-,-,-
R2022031900483,-,-,-,-,-,-,-,-,-,-
R2022031900484,-,-,-,-,-,-,-,-,-,-
R2022031900485,-,-,-,-,-,-,-,-,-,-
R2022031900486,-,-,-,-,-,-,-,-,-,-
R2022031900487,-,-,-,-,-,-,-,-,-,-
R2022031900488,-,-,-,-,-,-,-,1,-,-
R2022031900489,-,-,-,-,-,-,-,-,-,-
R2022031900490,-,-,-,-,-,-,1,-,-,-
R2022031900491,-,-,-,-,-,-,-,-,-,-
R2022031900492,-,-,-,-,-,-,-,-,-,-
R2022031900493,-,-,-,-,-,-,-,-,-,-
R2022031900494,-,-,-,-,-,-,-,-,-,-
R2022031900495,-,-,-,-,-,-,-,-,1,-
R2022031900496,-,-,-,-,-,-,-,-,-,-
R2022031900497,-,-,-,-,-,-,-,-,-,-
R2022031900498,-,-,-,-,-,-,-,-,-,-
R2022031900499,-,-,-,-,-,-,-,-,-,-
R2022031900500,-,-,-,-,-,-,-,-,-,-
R2022031900501,-,-,-,-,-,-,-,-,-,-
R2022031900502,-,-,-,-,-,-,-,-,-,-
R2022031900503,-,-,-,-,-,-,-,-,1,1
R2022031900504,-,-,-,-,-,-,-,-,-,-
R2022031900505,-,-,-,-,-,-,-,-,-,-
R2022031900506,-,-,-,-,-,-,-,-,-,-
R2022031900507,-,-,-,-,-,-,-,-,-,-
R2022031900509,-,-,-,-,-,-,-,-,-,-
R2022031900510,-,-,-,-,-,-,-,-,-,-
R2022031900511,-,-,-,-,-,-,-,-,-,-
R2022031900512,-,-,-,-,-,-,-,-,-,-
R2022031900513,-,-,-,-,-,-,-,-,-,-
R2022031900514,-,-,-,-,-,-,-,-,-,-
R2022031900515,-,-,-,-,-,-,-,-,-,-
R2022031900516,-,-,-,-,-,-,-,-,-,-
R2022031900517,-,-,-,-,-,-,-,-,-,-
R2022031900518,-,-,-,-,-,-,-,-,-,-
R2022031900519,-,-,-,-,-,-,-,-,-,-
R2022031900520,-,-,-,4,-,-,-,-,-,-
R2022031900521,-,-,-,-,-,-,-,-,-,-
R2022031900522,-,-,-,-,-,-,-,-,-,-
R2022031900523,-,-,-,-,-,-,-,-,-,-
R2022031900524,-,-,-,-,-,-,-,-,-,-
R2022031900525,-,-,-,-,-,-,-,-,-,-
R2022031900526,-,-,-,-,-,-,-,-,-,-
R2022031900527,-,-,-,-,-,-,-,-,-,-
R2022031900528,-,-,-,-,-,-,1,-,-,-
R2022031900529,-,-,-,-,-,-,1,-,-,-
R2022031900530,-,-,-,-,-,-,1,-,-,-
R2022031900531,-,-,-,-,-,-,-,-,-,-
R2022031900532,-,-,-,-,-,-,-,-,-,-
R2022031900533,-,-,-,-,-,-,-,-,-,-
R2022031900534,-,-,-,-,-,-,-,-,-,-
R2022031900535,-,-,-,-,-,-,-,-,-,-
R2022031900536,-,-,-,-,-,-,-,-,-,-
R2022031900537,-,-,-,-,-,-,-,-,-,-
R2022031900538,-,-,-,-,-,-,-,-,-,-
R2022031900539,-,-,-,-,-,-,-,-,-,-
R2022031900540,-,-,-,-,-,-,-,-,-,-
R2022031900541,-,-,-,-,-,-,-,-,-,-
R2022031900542,-,-,-,-,-,-,1,-,-,-
R2022031900543,-,-,-,-,-,-,-,-,-,-
R2022031900544,-,-,-,-,-,-,-,-,-,-
R2022031900545,-,-,-,-,-,-,-,-,-,-
R2022031900546,-,-,-,-,-,-,-,-,-,-
R2022031900547,-,-,-,-,-,-,-,-,-,-
R2022031900548,-,-,-,2,-,-,-,-,-,-
R2022031900549,-,-,-,-,-,-,-,-,-,-
R2022031900550,-,-,-,-,-,-,-,-,-,-
R2022031900551,-,-,-,-,-,-,-,-,-,-
R2022031900552,-,-,-,-,-,-,-,-,-,-
R2022031900553,-,-,-,-,-,-,-,-,-,-
R2022031900554,-,-,-,-,-,-,-,-,-,-
R2022031900555,-,-,-,-,-,-,-,-,-,-
R2022031900556,-,-,-,2,-,-,-,-,-,-
R2022031900557,-,-,-,-,-,-,1,-,-,-
R2022031900558,-,-,-,-,-,-,-,-,-,-
R2022031900559,-,-,-,-,-,-,-,-,-,-
R2022031900560,-,-,-,-,-,-,-,-,-,-
R2022031900561,-,-,1,-,-,1,-,-,-,-
R2022031900562,-,-,-,-,-,-,-,-,-,-
R2022031900563,-,-,-,-,-,-,-,-,-,-
R2022031900564,-,-,-,-,-,-,-,-,-,-
R2022031900565,-,-,-,-,-,-,-,-,-,-
R2022031900566,-,-,-,-,-,-,-,-,-,-
R2022031900567,-,-,-,-,-,-,-,-,-,-
R2022031900568,-,-,-,-,-,-,-,-,-,-
R2022031900569,-,-,-,-,-,-,-,-,-,-
R2022031900570,-,-,-,-,-,1,-,-,-,-
R2022031900571,-,-,-,-,-,-,-,-,-,-
R2022031900572,-,-,-,-,-,-,1,1,-,-
R2022031900573,-,-,-,-,-,-,-,-,-,-
R2022031900575,-,-,-,-,-,-,-,-,-,-
R2022031900576,-,-,-,-,-,-,-,-,-,-
R2022031900577,-,-,-,-,-,-,-,-,-,-
R2022031900578,-,-,-,-,-,-,-,-,-,-
R2022031900579,-,-,-,-,-,-,-,-,-,-
R2022031900580,-,-,-,-,-,-,-,-,-,-
R2022031900581,-,-,-,-,-,-,-,-,-,-
R2022031900582,-,-,-,-,-,-,-,-,-,-
R2022031900583,-,-,-,-,-,-,-,-,-,-
R2022031900584,-,-,-,-,-,-,-,-,-,-
R2022031900585,-,-,-,-,-,-,-,-,-,-
R2022031900586,-,-,-,-,-,-,-,-,-,-
R2022031900587,-,-,-,-,-,-,-,-,-,-
R2022031900588,-,-,-,-,-,-,-,-,-,-
R2022031900589,-,-,-,-,-,-,-,-,-,-
R2022031900590,-,-,-,-,-,-,-,-,-,-
R2022031900591,-,-,-,-,-,-,-,-,-,-
